headers	province	region
EPI_ISL_1015525|B/Jiangxi-Yuanzhou/12007/2020|2020-12-01	Jiangxi	East
EPI_ISL_1015526|B/Guizhou-Douyun/11021/2020|2020-12-03	Guizhou	Southwest
EPI_ISL_2695886|B/Neimenggu-Donghe/1330/2021|2021-04-05	Neimenggu	North
EPI_ISL_2695888|B/Jiangxi-Anyuan/1215/2021|2021-03-17	Jiangxi	East
EPI_ISL_2695890|B/Hunan-Lusong/1232/2021|2021-03-15	Hunan	Central
EPI_ISL_2695894|B/Henan-Zhaoling/1204/2021|2021-03-15	Henan	Central
EPI_ISL_2695895|B/Jiangxi-Xinzhou/1248/2021|2021-03-15	Jiangxi	East
EPI_ISL_2695899|B/Hubei-Xianan/31/2021|2021-03-15	Hubei	Central
EPI_ISL_2695900|B/Hubei-Liangzihu/32/2021|2021-03-15	Hubei	Central
EPI_ISL_2695901|B/Hubei-Liangzihu/32/2021|2021-03-15	Hubei	Central
EPI_ISL_2695907|B/Hunan-Yuhua/1404/2021|2021-03-15	Hunan	Central
EPI_ISL_2695908|B/Guangdong-Doumen/52/2021|2021-03-15	Guangdong	South
EPI_ISL_2695912|B/Ningxia-Shapotou/1200/2021|2021-03-10	Ningxia	Northwest
EPI_ISL_2695913|B/Ningxia-Shapotou/1200/2021|2021-03-10	Ningxia	Northwest
EPI_ISL_2695916|B/Guangdong-Zhenjiang/1193/2021|2021-03-10	Guangdong	South
EPI_ISL_2695918|B/Shanghai-Changning/1249/2021|2021-03-09	Shanghai	East
EPI_ISL_2695922|B/Guangdong-Pengjiang/38/2021|2021-03-08	Guangdong	South
EPI_ISL_2695926|B/Jiangxi-Anyuan/1165/2021|2021-03-03	Jiangxi	East
EPI_ISL_2695927|B/Guangdong-Zhenjiang/1173/2021|2021-03-03	Guangdong	South
EPI_ISL_2695928|B/Shanghai-Fengxian/1195/2021|2021-03-03	Shanghai	East
EPI_ISL_2695930|B/Ningxia-Shapotou/1178/2021|2021-03-03	Ningxia	Northwest
EPI_ISL_2695931|B/Hunan-Yuhua/1334/2021|2021-03-02	Hunan	Central
EPI_ISL_2695932|B/Hunan-Yuhua/1334/2021|2021-03-02	Hunan	Central
EPI_ISL_2695934|B/Guizhou-Kaili/1189/2021|2021-03-02	Guizhou	Southwest
EPI_ISL_2695935|B/Fujian-Jiaocheng/1430/2021|2021-03-02	Fujian	East
EPI_ISL_2695936|B/Ningxia-Shapotou/1174/2021|2021-03-02	Ningxia	Northwest
EPI_ISL_2695939|B/Zhejiang-Nanhu/1184/2021|2021-03-01	Zhejiang	East
EPI_ISL_2695940|B/Zhejiang-Nanhu/1184/2021|2021-03-01	Zhejiang	East
EPI_ISL_2695943|B/Fujian-Jiaocheng/1395/2021|2021-02-28	Fujian	East
EPI_ISL_2695946|B/Henan-Beiguan/1165/2021|2021-02-24	Henan	Central
EPI_ISL_2695948|B/Guizhou-Huichuan/1158/2021|2021-02-22	Guizhou	Southwest
EPI_ISL_2695949|B/Guizhou-Huichuan/1158/2021|2021-02-22	Guizhou	Southwest
EPI_ISL_2695950|B/Hunan-Kaifu/1146/2021|2021-02-22	Hunan	Central
EPI_ISL_2695952|B/Hubei-Jiangan/1224/2021|2021-02-22	Hubei	Central
EPI_ISL_2695954|B/Qinghai-Yushu/1100/2021|2021-03-21	Qinghai	Northwest
EPI_ISL_2695957|B/Fujian-Jianou/324/2021|2021-04-13	Fujian	East
EPI_ISL_2695961|B/Jiangxi-Xihu/1356/2021|2021-04-14	Jiangxi	East
EPI_ISL_2695965|B/Hubei-Wujiagang/1411/2021|2021-04-15	Hubei	Central
EPI_ISL_2695969|B/Fujian-Zhangpu/318/2021|2021-04-20	Fujian	East
EPI_ISL_2695971|B/Jiangxi-Donghu/1751/2021|2021-04-21	Jiangxi	East
EPI_ISL_2695973|B/Gansu-Linxia/1558/2021|2021-04-26	Gansu	Northwest
EPI_ISL_2695976|B/Jiangxi-Zhushan/1414/2021|2021-04-26	Jiangxi	East
EPI_ISL_2695977|B/Hubei-Yuanan/232/2021|2021-04-27	Hubei	Central
EPI_ISL_2695979|B/Jiangxi-Zhanggong/1346/2021|2021-04-05	Jiangxi	East
EPI_ISL_2695980|B/Jiangxi-Zhushan/1345/2021|2021-04-05	Jiangxi	East
EPI_ISL_2695982|B/Henan-Jinshui/1269/2021|2021-04-12	Henan	Central
EPI_ISL_2695983|B/Zhejiang-Kecheng/1343/2021|2021-04-12	Zhejiang	East
EPI_ISL_2695984|B/Henan-Dengfeng/311/2021|2021-04-14	Henan	Central
EPI_ISL_2695985|B/Hunan-Jishou/1678/2021|2021-04-18	Hunan	Central
EPI_ISL_2695987|B/Hunan-Zhengxiang/322/2021|2021-04-19	Hunan	Central
EPI_ISL_2695990|B/Hunan-Yanfeng/1309/2021|2021-04-20	Hunan	Central
EPI_ISL_2695991|B/Hunan-Jingzhoumiaozudongzuzizhi/35/2021|2021-04-22	Hunan	Central
EPI_ISL_2695993|B/Qinghai-Yushu/194/2021|2021-03-20	Qinghai	Northwest
