headers	province	region
EPI_ISL_2695891|B/Hunan-Tianyuan/1282/2021|2021-03-15	Hunan	Central
EPI_ISL_2695893|B/Hunan-Tianyuan/1288/2021|2021-03-15	Hunan	Central
EPI_ISL_2695902|B/Hubei-Qiaokou/1178/2021|2021-03-15	Hubei	Central
EPI_ISL_2695903|B/Hubei-Qiaokou/1178/2021|2021-03-15	Hubei	Central
EPI_ISL_2695906|B/Gansu-Minxian/337/2021|2021-03-15	Gansu	Northwest
EPI_ISL_2695914|B/Zhejiang-Jiaojiang/1209/2021|2021-03-10	Zhejiang	East
EPI_ISL_2695917|B/Gansu-Jingyuan/1190/2021|2021-03-10	Gansu	Northwest
EPI_ISL_2695923|B/Jiangxi-Zhushan/1203/2021|2021-03-08	Jiangxi	East
EPI_ISL_2695924|B/Chongqing-Qianjiang/1233/2021|2021-03-06	Chongqing	Southwest
EPI_ISL_2695925|B/Jiangxi-Linchuan/1204/2021|2021-03-06	Jiangxi	East
EPI_ISL_2695929|B/Jiangxi-Xihu/1220/2021|2021-03-03	Jiangxi	East
EPI_ISL_2695933|B/Fujian-Sanyuan/2293/2021|2021-03-02	Fujian	East
EPI_ISL_2695937|B/Hunan-Louxin/1171/2021|2021-03-02	Hunan	Central
EPI_ISL_2695942|B/Fujian-Jiaocheng/1407/2021|2021-03-01	Fujian	East
EPI_ISL_2695947|B/Gansu-Maoji/1153/2021|2021-02-24	Gansu	Northwest
EPI_ISL_2695958|B/Gansu-Jingyuan/1298/2021|2021-04-13	Gansu	Northwest
EPI_ISL_2695959|B/Jiangsu-Jurong/1286/2021|2021-04-13	Jiangsu	East
EPI_ISL_2695966|B/Qinghai-Gonghe/1259/2021|2021-04-18	Qinghai	Northwest
EPI_ISL_2695967|B/Gansu-Linxia/1521/2021|2021-04-19	Gansu	Northwest
EPI_ISL_2695972|B/Gansu-Jingyuan/320/2021|2021-04-23	Gansu	Northwest
EPI_ISL_2695974|B/Gansu-Linxia/1558/2021|2021-04-26	Gansu	Northwest
EPI_ISL_2695975|B/Neimenggu-Kundoulun/1312/2021|2021-04-26	Neimenggu	North
EPI_ISL_2695978|B/Jiangxi-Zhanggong/539/2021|2021-03-31	Jiangxi	East
EPI_ISL_2695981|B/Chongqing-Yubei/1388/2021|2021-04-06	Chongqing	Southwest
EPI_ISL_2695988|B/Zhejiang-Haishu/1785/2021|2021-04-19	Zhejiang	East
EPI_ISL_2695992|B/Henan-Luolong/1218/2021|2021-03-17	Henan	Central
EPI_ISL_2695998|B/Hunan-Beihu/1542/2021|2021-03-31	Hunan	Central
EPI_ISL_2696010|B/Sichuan-Fucheng/1637/2021|2021-04-09	Sichuan	Southwest
EPI_ISL_2696011|B/Gansu-Jingyuan/1281/2021|2021-04-06	Gansu	Northwest
EPI_ISL_2696012|B/Hunan-Beihu/1596/2021|2021-04-10	Hunan	Central
EPI_ISL_2696019|B/Gansu-Jingyuan/1287/2021|2021-04-12	Gansu	Northwest
EPI_ISL_2696026|B/Gansu-Pingchuan/32/2021|2021-04-19	Gansu	Northwest
EPI_ISL_2696034|B/Hainan-Meilan/33/2021|2021-03-17	Hainan	South
EPI_ISL_2696035|B/Hainan-Meilan/39/2021|2021-03-17	Hainan	South
EPI_ISL_2696036|B/Hainan-Meilan/316/2021|2021-03-17	Hainan	South
EPI_ISL_2696037|B/Hainan-Meilan/32/2021|2021-03-17	Hainan	South
EPI_ISL_2696039|B/Jiangxi-Zhanggong/52/2021|2021-03-17	Jiangxi	East
EPI_ISL_2696040|B/Hainan-Meilan/31/2021|2021-03-17	Hainan	South
EPI_ISL_2696041|B/Hainan-Meilan/311/2021|2021-03-17	Hainan	South
EPI_ISL_2696042|B/Hunan-Yanfeng/1205/2021|2021-03-17	Hunan	Central
EPI_ISL_2696043|B/Hunan-Yanfeng/1205/2021|2021-03-17	Hunan	Central
EPI_ISL_2696047|B/Hunan-Louxin/1228/2021|2021-03-23	Hunan	Central
EPI_ISL_2696048|B/Hunan-Yuhu/1245/2021|2021-03-24	Hunan	Central
EPI_ISL_2696050|B/Jiangxi-Xinzhou/5112/2021|2021-03-25	Jiangxi	East
EPI_ISL_2696059|B/Gansu-Xifeng/1247/2021|2021-03-29	Gansu	Northwest
EPI_ISL_2696064|B/Gansu-Baiyin/1245/2021|2021-03-30	Gansu	Northwest
EPI_ISL_2696065|B/Gansu-Jingyuan/1251/2021|2021-03-30	Gansu	Northwest
EPI_ISL_2696066|B/Henan-Luolong/1258/2021|2021-03-30	Henan	Central
EPI_ISL_2696067|B/Hainan-Meilan/35/2021|2021-03-17	Hainan	South
EPI_ISL_2696068|B/Hainan-Meilan/314/2021|2021-03-17	Hainan	South
EPI_ISL_2696069|B/Hainan-Meilan/32/2021|2021-03-17	Hainan	South
EPI_ISL_2696070|B/Guizhou-Xixiu/1218/2021|2021-03-18	Guizhou	Southwest
EPI_ISL_2696083|B/Jiangxi-Jizhou/1321/2021|2021-03-29	Jiangxi	East
EPI_ISL_2696094|B/Gansu-Wudou/1184/2021|2021-02-22	Gansu	Northwest
EPI_ISL_2696095|B/Gansu-Wudou/1183/2021|2021-02-22	Gansu	Northwest
EPI_ISL_2696136|B/Gansu-Wudou/1184/2021|2021-02-22	Gansu	Northwest
EPI_ISL_2696137|B/Gansu-Wudou/1183/2021|2021-02-22	Gansu	Northwest
