headers	province	region
EPI_ISL_1015527|B/Yunnan-Qilin/1121/2020|2020-03-10	Yunnan	Southwest
EPI_ISL_2695904|B/Hunan-Jishou/1433/2021|2021-03-15	Hunan	Central
EPI_ISL_2695905|B/Hunan-Jishou/1433/2021|2021-03-15	Hunan	Central
EPI_ISL_2695915|B/Zhejiang-Wenling/2273/2021|2021-03-10	Zhejiang	East
EPI_ISL_367007|B/Yunnan-Chuxiong/11566/2019|2019-06-01	Yunnan	Southwest
EPI_ISL_367011|B/Yunnan-Chuxiong/11569/2019|2019-06-03	Yunnan	Southwest
EPI_ISL_367014|B/Shanghai-Huangpu/1531/2019|2019-06-01	Shanghai	East
EPI_ISL_367091|B/Hainan-Xiuying/1419/2019|2019-05-20	Hainan	South
EPI_ISL_367339|B/Hubei-Huangshigang/1506/2019|2019-05-21	Hubei	Central
EPI_ISL_367340|B/Neimenggu-Kundoulun/1354/2019|2019-05-28	Neimenggu	North
EPI_ISL_367342|B/Guizhou-Honghuagang/1438/2019|2019-05-27	Guizhou	Southwest
EPI_ISL_367344|B/Zhejiang-Nanhu/1415/2019|2019-05-20	Zhejiang	East
EPI_ISL_377018|B/Jiangsu-Haizhou/3214/2019|2019-06-06	Jiangsu	East
EPI_ISL_377019|B/Fujian-Gulou/1449/2019|2019-06-03	Fujian	East
EPI_ISL_377020|B/Fujian-Chengxiang/1567/2019|2019-06-03	Fujian	East
EPI_ISL_377021|B/Guangxi-Youjiang/1573/2019|2019-07-02	Guangxi	South
EPI_ISL_377022|B/Yunnan-Zhaoyang/1629/2019|2019-07-09	Yunnan	Southwest
EPI_ISL_377023|B/Guangxi-Xixiangtang/1578/2019|2019-07-02	Guangxi	South
EPI_ISL_377024|B/Shanghai-Xuhui/1702/2019|2019-07-01	Shanghai	East
EPI_ISL_377025|B/Shanghai-Pudongxin/11067/2019|2019-07-02	Shanghai	East
EPI_ISL_377027|B/Guangxi-Hengxian/382/2019|2019-06-03	Guangxi	South
EPI_ISL_377028|B/Guangxi-Qinbei/348/2019|2019-06-12	Guangxi	South
EPI_ISL_377029|B/Guangxi-Xixiangtang/1574/2019|2019-07-02	Guangxi	South
EPI_ISL_377031|B/Hubei-Songzi/1480/2019|2019-06-05	Hubei	Central
EPI_ISL_377032|B/Fujian-Siming/1464/2019|2019-06-10	Fujian	East
EPI_ISL_377034|B/Guangxi-Haicheng/1804/2019|2019-06-18	Guangxi	South
EPI_ISL_377035|B/Anhui-Jinan/1713/2019|2019-06-25	Anhui	East
EPI_ISL_377037|B/Zhejiang-Nanhu/1459/2019|2019-06-03	Zhejiang	East
EPI_ISL_377038|B/Hubei-Huangshigang/1561/2019|2019-06-11	Hubei	Central
